NAR,HT,CAL,HTCAL
101.51,36.5,1.1,40.15
79.54,33.0,1.0,33.0
20.62,22.0,0.3,6.6
53.07,26.0,0.5,13.0
43.02,24.0,0.5,12.0
31.88,24.0,0.4,9.6
26.78,21.0,0.4,8.4
29.93,26.0,0.4,10.4
18.9,16.5,0.36,5.94
54.3,34.5,0.89,30.705
51.3,23.0,0.47,10.81
35.5,20.0,0.47,9.4
13.3,17.0,0.37,6.29
25.1,19.0,0.51,9.69
18.7,17.5,0.42,7.35
21.5,16.5,0.33,5.445
14.8,16.5,0.31,5.115
21.2,19.0,0.48,9.12
21.6,16.0,0.39,6.24
20.7,17.0,0.4,6.8
30.9,17.0,0.46,7.82
32.5,19.0,0.44,8.36
11.18,17.0,0.37,6.29
186.0,51.0,0.7,35.7
163.0,41.0,0.73,29.93
130.5,37.0,0.65,24.05
139.0,44.0,0.69,30.36
132.0,43.0,0.66,28.38
171.0,36.0,0.7,25.2
155.0,40.0,0.62,24.8
93.0,41.5,0.59,24.485
161.0,45.5,0.8,36.4
87.0,36.5,0.53,19.345
127.0,41.0,0.64,26.24
140.0,39.0,0.64,24.96
